facility_name,facility_code,state_abbr,county_fips,county_name,unusual_flag,unusual_type,notes
FAIRFAX CO. ADULT DETENTION CENTER,FXADCVA,VA,,,,,
FAIRFIELD INN & SUITES,FRFLDWY,WY,,,TRUE,hotel_motel,
FAIRTON FCI,BOPFAI,NJ,,,,,
FAYETTE COUNTY DETENTION CENTER,FAYETKY,KY,,,,,
FAYETTEVILLE HOLD ROOM,FAYHOLD,AR,,,TRUE,hold_room,
FCI GILMER,BOPGIL,IL,,,,,
FCI VICTORVILLE,BOPVIM,CA,,,,,
FERNDALE HOLD ROOM,FDLHOLD,WA,,,TRUE,hold_room,
FINNEY COUNTY JAIL,FINNEKS,KS,,,,,
FISHKILL C.F. BEACON NY,NYFISHC,NY,,,,,
FLATHEAD COUNTY JAIL,FLATHMT,MT,,,,,
FLORENCE HOSPITAL,FLORHAZ,AZ,,,TRUE,hospital,
FLORENCE SPC,FLO,AZ,,,,,
FLORENCE STAGING FACILITY,FSF,AZ,,,TRUE,staging_processing,
"FLORIDA ST. PRIS.,STARKE",FLSPSTA,FL,,,,,
FLOYD COUNTY JAIL,FLOYDGA,GA,,,,,
FOLKSTON ANNEX IPC,FIPCAGA,GA,,,,,
FOLKSTON MAIN IPC,FIPCMGA,GA,,,,,
FOND DU LAC COUNTY SHERIFF/JAIL,FNDDUWI,WI,,,,,
FORSYTH COUNTY JAIL,FORSYNC,NC,,,,,
FORT LAUDERDALE HOSPITAL,FLHOSFL,FL,,,TRUE,hospital,
FORT MYERS ERO HOLDROOM,FMYHOLD,FL,,,TRUE,hold_room,
FORT SMITH HOLDROOM,FSAHOLD,AR,,,TRUE,hold_room,
FOUR PTS SHERATON SEA AP,FPSSAWA,WA,,,,,
"FRANKLIN COUNTY JAIL, VT",FRACOVT,VT,,,,,
FRANKLIN HOUSE OF CORRECTIONS,GREENMA,MA,,,,,
FREDERICK COUNTY DET. CEN,FREDEMD,MD,,,,,
FREDERICK HOLDROOM,FCOHOLD,MD,,,TRUE,hold_room,
FREDERICK HOLDROOM,FRDHOLD,MD,,,TRUE,hold_room,
"FREEBORN COUNTY JAIL, MN",FREEBMN,MN,,,,,
FREESTONE COUNTY JAIL,FREESTX,TX,,,,,
"FREMONT COUNTY JAIL, CO",FREMOCO,CO,,,,,
FRESNO COUNTY JAIL,FRECOCA,CA,,,,,
FRESNO HOLDROOM,FREHOLD,CA,,,TRUE,hold_room,
FRIO COUNTY JAIL,FRIOCTX,TX,,,,,
FRIO REGIONAL HOSPITAL,FRIRHTX,TX,,,TRUE,hospital,
FT LAUDERDALE BEHAVOR HLTH CTR,FLBHCFL,FL,,,,,
GALLATIN COUNTY JAIL,GALLAMT,MT,,,,,
