county_fips,aor
51139,Washington
51127,Washington
51125,Washington
51145,Washington
51075,Washington
51037,Washington
51063,Washington
51097,Washington
53007,Seattle
53037,Seattle
53041,Seattle
53025,Seattle
54021,Philadelphia
54033,Philadelphia
54017,Philadelphia
54085,Philadelphia
54005,Philadelphia
54093,Philadelphia
54087,Philadelphia
54001,Philadelphia
54013,Philadelphia
55111,Chicago
55113,Chicago
55001,Chicago
01003,New Orleans
01005,New Orleans
01129,New Orleans
01107,New Orleans
01049,New Orleans
21089,Chicago
04027,Phoenix
05091,New Orleans
05081,New Orleans
08023,Denver
08069,Denver
08107,Denver
09110,Boston
12123,Miami
12101,Miami
12033,Miami
12089,Miami
13039,Atlanta
13181,Atlanta
13313,Atlanta
13033,Atlanta
16029,Salt Lake City
16007,Salt Lake City
17003,Chicago
18123,Chicago
20075,Chicago
32003,Salt Lake City
22051,New Orleans
04021,Phoenix
26099,Detroit
26147,Detroit
12105,Miami
19149,St Paul
20131,Chicago
01001,New Orleans
01025,New Orleans
40113,Dallas
21095,Chicago
72127,Miami
21127,Chicago
22087,New Orleans
01047,New Orleans
22085,New Orleans
22119,New Orleans
23015,Boston
01035,New Orleans
24009,Baltimore
24043,Baltimore
26055,Detroit
26013,Detroit
26071,Detroit
27069,St Paul
27089,St Paul
28103,New Orleans
29143,Chicago
29095,Chicago
29157,Chicago
30061,Salt Lake City
30083,Salt Lake City
30057,Salt Lake City
32009,Salt Lake City
34033,Newark
34007,Newark
34015,Newark
37087,Atlanta
37021,Atlanta
37065,Atlanta
38059,St Paul
38055,St Paul
38007,St Paul
40111,Dallas
41005,Seattle
41003,Seattle
41023,Seattle
42003,Philadelphia
42041,Philadelphia
42067,Philadelphia
45075,Atlanta
45067,Atlanta
45009,Atlanta
46137,St Paul
72037,Miami
78030,Miami
12045,Miami
12029,Miami
12129,Miami
17097,Chicago
16087,Salt Lake City
05009,New Orleans
08113,Denver
08071,Denver
08057,Denver
22107,New Orleans
22017,New Orleans
23027,Boston
23017,Boston
24025,Baltimore
24047,Baltimore
24003,Baltimore
24023,Baltimore
37029,Atlanta
37161,Atlanta
38035,St Paul
39161,Detroit
02050,Seattle
41019,Seattle
42111,Philadelphia
42045,Philadelphia
42103,Philadelphia
45019,Atlanta
45003,Atlanta
45021,Atlanta
45057,Atlanta
28109,New Orleans
29023,Chicago
47063,New Orleans
47187,New Orleans
47117,New Orleans
49057,Salt Lake City
49047,Salt Lake City
49029,Salt Lake City
49017,Salt Lake City
51003,Washington
51840,Washington
51163,Washington
54081,Philadelphia
54083,Philadelphia
54007,Philadelphia
55099,Chicago
56035,Denver
72039,Miami
72139,Miami
08037,Denver
08109,Denver
09140,Boston
12001,Miami
13303,Atlanta
13157,Atlanta
13309,Atlanta
13171,Atlanta
13221,Atlanta
13317,Atlanta
13079,Atlanta
13141,Atlanta
13025,Atlanta
16035,Salt Lake City
17175,Chicago
18125,Chicago
19107,St Paul
19017,St Paul
19081,St Paul
20149,Chicago
21067,Chicago
21049,Chicago
21051,Chicago
21043,Chicago
21229,Chicago
21033,Chicago
22099,New Orleans
22063,New Orleans
22033,New Orleans
22059,New Orleans
22021,New Orleans
25015,Boston
26079,Detroit
27023,St Paul
27125,St Paul
28049,New Orleans
28053,New Orleans
29195,Chicago
29169,Chicago
30015,Salt Lake City
30073,Salt Lake City
31093,St Paul
31113,St Paul
31103,St Paul
35043,El Paso
28007,New Orleans
28029,New Orleans
29015,Chicago
29041,Chicago
30087,Salt Lake City
30055,Salt Lake City
31077,St Paul
51041,Washington
51005,Washington
51017,Washington
53065,Seattle
13307,Atlanta
56003,Denver
01097,New Orleans
04005,Phoenix
13127,Atlanta
01115,New Orleans
18061,Chicago
22105,New Orleans
46095,St Paul
23013,Boston
24013,Baltimore
21093,Chicago
27031,St Paul
34011,Newark
34021,Newark
39123,Detroit
02275,Seattle
02282,Seattle
02195,Seattle
45069,Atlanta
30089,Salt Lake City
32031,Salt Lake City
33009,Boston
35039,El Paso
35055,El Paso
17043,Chicago
27051,St Paul
18083,Chicago
19195,St Paul
12095,Miami
26089,Detroit
19125,St Paul
01055,New Orleans
21101,Chicago
21195,Chicago
01109,New Orleans
19147,St Paul
19161,St Paul
21029,Chicago
21155,Chicago
21121,Chicago
21005,Chicago
21099,Chicago
47163,New Orleans
47091,New Orleans
49033,Salt Lake City
51153,Washington
51171,Washington
53031,Seattle
53011,Seattle
53071,Seattle
53035,Seattle
53019,Seattle
54011,Philadelphia
54073,Philadelphia
05103,New Orleans
05061,New Orleans
05013,New Orleans
05095,New Orleans
08031,Denver
08015,Denver
13067,Atlanta
13029,Atlanta
13113,Atlanta
13217,Atlanta
13319,Atlanta
13107,Atlanta
15009,San Francisco
17017,Chicago
17129,Chicago
35033,El Paso
37101,Atlanta
37079,Atlanta
37057,Atlanta
