responsible_site,state_abbr,county_fips,county_name,unusual_flag,unusual_type,notes
"GRAND JUNCTION, CO, SUB-OFFICE",CO,,,TRUE,field_office,
GREENE COUNTY SHERIFF'S OFFICE,,,,,,
HALL COUNTY SHERIFF'S OFFICE,,,,,,
HARFORD COUNTY SHERIFF'S OFFICE,,,,,,
"HARLINGEN, TX, DISTRICT OFFICE",TX,,,,,
"HARLINGEN, TX, DOCKET CONTROL OFFICE",TX,,,,,
HARRIS COUNTY SHERIFF'S OFFICE,,,,,,
"HARTFORD, CT, DOCKET CONTROL OFFICE",CT,,,,,
"HARTFORD, CT, POE",CT,,,,,
"HARTFORD, CT, SUB-OFFICE",CT,,,TRUE,field_office,
HENDERSON COUNTY SHERIFF'S OFFICE,,,,,,
HERNANDO COUNTY SHERIFF'S OFFICE,,,,,,
"HONOLULU, HI, DOCKET CONTROL OFFICE",HI,,,,,
HORRY COUNTY SHERIFF'S OFFICE- J. REUBEN LONG DETENTION CENTER,,,,,,
"HOUSTON, TX, DISTRICT OFFICE",TX,,,,,
"HOUSTON, TX, DOCKET CONTROL OFFICE",TX,,,,,
"HOUSTON, TX, POE",TX,,,,,
HSI ASAC PORTLAND OR,,,,,,
HSI RA BATON ROUGE LA,,,,,,
HSI RA DULUTH MN,,,,,,
HSI RA PANAMA CITY FL,,,,,,
HSI RAC ALBANY NY,,,,,,
HSI RAC AUSTIN TX,,,,,,
HSI RAC BIRMINGHAM AL,,,,,,
HSI RAC CLEVELAND OH,,,,,,
HSI RAC FT. MYERS FL,,,,,,
HSI RAC GRAND FORKS ND,,,,,,
HSI RAC GRAND RAPIDS MI,,,,,,
HSI RAC HARLINGEN TX,,,,,,
HSI RAC HOUMA LA,,,,,,
HSI RAC KALISPELL MT,,,,,,
HSI RAC KNOXVILLE TN,,,,,,
HSI RAC MCALLEN TX,,,,,,
HSI RAC MEMPHIS TN,,,,,,
HSI RAC MONTGOMERY AL,,,,,,
HSI RAC O'HARE IL,,,,,,
HSI RAC OK CITY OK,,,,,,
HSI RAC ORLANDO FL,,,,,,
HSI RAC ROSWELL,,,,,,
HSI RAC SPRINGFIELD MO,,,,,,
HSI RAC ST. LOUIS MO,,,,,,
HSI RAC VENTURA CA,,,,,,
HSI SAC ATLANTA,,,,,,
HSI SAC CHARLOTTE NC,,,,,,
HSI SAC CHICAGO,,,,,,
HSI SAC DALLAS,,,,,,
HSI SAC EL PASO,,,,,,
HSI SAC HONOLULU HI,,,,,,
HSI SAC HOUSTON,,,,,,
HSI SAC LOS ANGELES,,,,,,
HSI SAC MIAMI,,,,,,
HSI SAC NASHVILLE TN,,,,,,
HSI SAC PHOENIX AZ,,,,,,
HSI SAC SAN ANTONIO,,,,,,
HSI SAC SAN DIEGO,,,,,,
HSI SAC SAN JUAN,,,,,,
HSI SAC SEATTLE,,,,,,
HSI SAC ST. PAUL,,,,,,
HSI SAC TAMPA,,,,,,
HSI SAC WASHINGTON DC,,,,,,
ICE ERO - MOUNT LAUREL NJ SUB-OFC,,,,,,
ICE ERO LAS CRUCES SUB OFFICE,,,,TRUE,field_office,
ICE ERO MIAMI PANAMA CITY BEACH SUB-OFFICE,,,,TRUE,field_office,
ICE ERO MIAMI PENSACOLA SUB-OFFICE,,,,TRUE,field_office,
"ICE ERO-MIDLAND, TX SUB-OFFICE",TX,,,TRUE,field_office,
JACKSONVILLE SHERIFF'S OFFICE,,,,,,
"JACKSONVILLE, FL, BORDER PATROL STATION",FL,,,TRUE,border_station,
"KANSAS CITY MO, POE",,,,,,
"KANSAS, MO, DOCKET CONTROL OFFICE",MO,,,,,
KLEBERG COUNTY SHERIFF'S OFFICE,,,,,,
KNOX COUNTY SHERIFF'S OFFICE,,,,,,
"KROME, MIAMI, FL, DOCKET CONTROL OFFICE",FL,,,,,
"KROME, MIAMI, FL, NORTH SERVICE PROCESSING CENTER",FL,,,TRUE,staging_processing,
"LAS CRUCES, NM, BORDER PATROL STATION",NM,,,TRUE,border_station,
"LAS VEGAS, NV, DOCKET CONTROL OFFICE",NV,,,,,
"LAS VEGAS, NV, SUB-OFFICE",NV,,,TRUE,field_office,
LAVACA COUNTY SHERIFF'S OFFICE,,,,,,
LAW ENFORCEMENT SUPPORT CENTER - ERO,,,,,,
LEXINGTON COUNTY SHERIFF'S DEPARTMENT,,,,,,
"LOMPOC, CA, IHP",CA,,,,,
"LONG ISLAND, NY SUB-OFFICE",NY,,,TRUE,field_office,
"LOS ANGELES, CA, DISTRICT OFFICE",CA,,,,,
"LOS ANGELES, CA, DOCKET CONTROL OFFICE",CA,,,,,
"LOS ANGELES, CA, POE",CA,,,,,
"LOUISVILLE, KY, SUB-OFFICE",KY,,,TRUE,field_office,
MASSACHUSETTS DEPARTMENT OF CORRECTION,,,,,,
"MCALLEN, TX, BORDER PATROL STATION",TX,,,TRUE,border_station,
"MEDFORD, OR, SUB-OFFICE",OR,,,TRUE,field_office,
"MEMPHIS, TN, POE",TN,,,,,
"MEMPHIS, TN, SUB-OFFICE",TN,,,TRUE,field_office,
"MIAMI INTERNATIONAL AIRPORT, MIAMI FLORIDA, POE",,,,TRUE,airport,
"MIAMI, FL, DISTRICT OFFICE",FL,,,,,
"MIAMI, FL, DOCKET CONTROL OFFICE",FL,,,,,
"MILWAUKEE, WI, SUB-OFFICE",WI,,,TRUE,field_office,
"MOBILE, AL, BORDER PATROL STATION",AL,,,TRUE,border_station,
MONTGOMERY COUNTY SHERIFF'S OFFICE,,,,,,
MOSHANNON VALLEY PROCESSING CENTER,,,,TRUE,staging_processing,
"MT. LAUREL, NJ, POE",MT,,,,,
"NASHVILLE, TN, POE",TN,,,,,
"NEW ORLEANS, LA, DISTRICT OFFICE",LA,,,,,
"NEW ORLEANS, LA, DOCKET CONTROL OFFICE",LA,,,,,
"NEW YORK, NY, DISTRICT OFFICE",NY,,,,,
"NEW YORK, NY, DOCKET CONTROL OFFICE",NY,,,,,
"NEWARK, NJ, DISTRICT OFFICE",NJ,,,,,
"NEWARK, NJ, DOCKET CONTROL OFFICE",NJ,,,,,
"NEWBURGH NY, SUB-OFFICE",,,,TRUE,field_office,
NUECES COUNTY SHERIFF'S OFFICE,,,,,,
"OAK - ERO - OAKDALE, LA SUB-OFFICE",LA,,,TRUE,field_office,
"OAKDALE, LA PROC, FILE CONTROL OFFICE",LA,,,,,
"OKLAHOMA CITY, OK, POE",OK,,,,,
"OMAHA, NE, DOCKET CONTROL OFFICE",NE,,,,,
"OMAHA, NE, POE",NE,,,,,
ORANGE COUNTY SHERIFF'S OFFICE,,,,,,
"ORLANDO, FL, DOCKET CONTROL OFFICE",FL,,,,,
"PECOS, TX, IHP",TX,,,,,
"PHILADELPHIA, PA, DISTRICT OFFICE",PA,,,,,
"PHILADELPHIA, PA, DOCKET CONTROL OFFICE",PA,,,,,
"PHOENIX, AZ, DISTRICT OFFICE",AZ,,,,,
"PHOENIX, AZ, DOCKET CONTROL OFFICE",AZ,,,,,
"PHOENIX, AZ, POE",AZ,,,,,
PINAL COUNTY SHERIFF'S OFFICE,,,,,,
"PITTSBURG, PA, SUB-OFFICE",PA,,,TRUE,field_office,
"PITTSBURGH, PA, DOCKET CONTROL OFFICE",PA,,,,,
"PORT ISABEL, TX, DOCKET CONTROL OFFICE",TX,,,,,
"PORTLAND, ME, DOCKET CONTROL OFFICE",ME,,,,,
"PORTLAND, OR, DISTRICT OFFICE",OR,,,,,
"PORTLAND, OR, DOCKET CONTROL OFFICE",OR,,,,,
"PORTLAND, OR, POE",OR,,,,,
POTTER COUNTY SHERIFF'S OFFICE,,,,,,
PRAIRIELAND DETENTION CENTER,,,,,,
"PROVIDENCE, RI, DOCKET CONTROL OFFICE",RI,,,,,
RAC ATLANTIC CITY,,,,,,
"RALEIGH/DURHAM, NC, POE",NC,,,,,
"RALEIGH/DURHAM, NC, SUB-OFFICE",NC,,,TRUE,field_office,
"REDDING, CA SUB-OFFICE",CA,,,TRUE,field_office,
REFUGIO COUNTY SHERIFF'S OFFICE,,,,,,
"RENO, NV, DOCKET CONTROL OFFICE",NV,,,,,
"RENO, NV, SUB-OFFICE",NV,,,TRUE,field_office,
RENSSELAER COUNTY SHERIFF'S OFFICE,,,,,,
ROCKWALL COUNTY SHERIFF'S OFFICE,,,,,,
"ROSWELL, NM SUB-OFFICE",NM,,,TRUE,field_office,
"SACRAMENTO, CA, POE",CA,,,,,
"SACRAMENTO, CA, SUB-OFFICE",CA,,,TRUE,field_office,
"SALT LAKE CITY, UT, DISTRICT OFFICE",UT,,,,,
"SALT LAKE CITY, UT, DOCKET CONTROL OFFICE",UT,,,,,
"SAN ANTONIO, TX, POE",TX,,,,,
"SAN BERNADINO, CA, SUB-OFFICE",CA,,,TRUE,field_office,
SAN BERNARDINO COUNTY SHERIFF'S OFFICE,,,,,,
"SAN BERNARDINO,CA POE",CA,,,,,
"SAN DIEGO, CA, DISTRICT OFFICE",CA,,,,,
"SAN DIEGO, CA, DOCKET CONTROL OFFICE",CA,,,,,
"SAN FRANCISCO, CA, DISTRICT OFFICE",CA,,,,,
"SAN FRANCISCO, CA, DOCKET CONTROL OFFICE",CA,,,,,
"SAN FRANCISCO, CA, POE",CA,,,,,
"SAN JUAN, PR, DISTRICT OFFICE",PR,,,,,
"SAN JUAN, PR, SERVICE PROCESSING CENTER (DOCKET CONTROL OFFICE)",PR,,,TRUE,staging_processing,
SAN PATRICIO COUNTY SHERIFF'S OFFICE,,,,,,
"SANTA ANA, CA, SUB-OFFICE",CA,,,TRUE,field_office,
"SAVANNAH, GA, SUB-OFFICE",GA,,,TRUE,field_office,
"SEATTLE, WA, DISTRICT OFFICE",WA,,,,,
"SEATTLE, WA, DOCKET CONTROL OFFICE",WA,,,,,
SOUTH TEXAS FAMILY RESIDENTIAL CENTER,,,,,,
"ST. LOUIS, MO, SUB-OFFICE",MO,,,TRUE,field_office,
"ST. PAUL, MN, DISTRICT OFFICE",MN,,,,,
"ST. PAUL, MN, DOCKET CONTROL OFFICE",MN,,,,,
"ST. PAUL, MN, POE",MN,,,,,
"TAMPA, FL, DOCKET CONTROL OFFICE",FL,,,,,
"TAMPA, FL, POE",FL,,,,,
"TAMPA, FL, SUB-OFFICE",FL,,,TRUE,field_office,
TARRANT COUNTY SHERIFF'S OFFICE,,,,,,
TELLER COUNTY SHERIFF'S OFFICE,,,,,,
TERRELL COUNTY SHERIFF'S OFFICE,,,,,,
"TUCSON, AZ, DOCKET CONTROL OFFICE",AZ,,,,,
"TUCSON, AZ, SUB-OFFICE",AZ,,,TRUE,field_office,
TULSA COUNTY SHERIFF'S OFFICE,,,,,,
"US VIRGIN ISLANDS, CHARLOTTE AMALIE, DOCKET CONTROL OFFICE",,,,,,
"VARRICK, NY, SERVICE PROCESSING CENTER (DOCKET CONTROL OFFICE)",NY,,,TRUE,staging_processing,
VICTORIA COUNTY SHERIFF'S OFFICE,,,,,,
WALKER COUNTY SHERIFF'S OFFICE,,,,,,
"WASHINGTON DC, (HQ) OFFICE OF DETENTION AND REMOVAL OPERATIONS",,,,,,
"WASHINGTON, DC, (HQ) DOCKET CONTROL OFFICE",DC,,,,,
"WASHINGTON, DC, DISTRICT OFFICE",DC,,,,,
"WASHINGTON, DC, DOCKET CONTROL OFFICE",DC,,,,,
WAUKESHA COUNTY SHERIFFS OFFICE,,,,,,
WENATCHEE DUTY POST,,,,,,
"WEST PALM BEACH, FL, POE",FL,,,,,
